description,category
Coffee Cafe HYD Rs 1387  Ref 54861,Food
Electronics Store HYD Rs 2982  TXNID 98025,Shopping
Electricity Bill TSSPDCL 4256 INR,Utilities
House Rent Transfer  Ref 96048,Rent
PG Rent Gachibowli  TXNID 98001,Rent
Gas Bill HP Rs 750  Ref 55056,Utilities
Electricity Bill TSSPDCL  Ref 11488,Utilities
Gaming Steam Purchase  TXNID 98365,Entertainment
Big Bazaar Mall,Shopping
Flipkart Online 3408 INR  TXNID 98345,Shopping
Flipkart Online  TXNID 91690,Shopping
TSRTC BUS TICKET,Travel
DTH Recharge TataSky Rs 2990,Utilities
Coursera Course Rs 2568  Ref 55655,Education
IRCTC Catering,Food
IndiGo Flight Booking  Ref 42775,Travel
Gas Bill HP 4549 INR ,Utilities
SWIGGY Order  TXNID 99554,Food
TSRTC BUS TICKET,Travel
Mobile Recharge Jio,Utilities
KFC Food Court Rs 1521,Food
Amazon purchase  BLR,Shopping
House Rent Transfer  DEL,Rent
House Rent Transfer 3048 INR ,Rent
IndiGo Flight Booking 1104 INR,Travel
McDonalds Drive Thru  PUNE,Food
Apollo Pharmacy ,Health
Local Kirana Store 4202 INR,Shopping
Electricity Bill TSSPDCL  Ref 23565,Utilities
Exam Registration Fee,Education
Exam Registration Fee Rs 1909  Ref 82051,Education
PG Rent Gachibowli Rs 2744 ,Rent
Myntra Fashion Rs 1297,Shopping
Hospital Bill,Health
Health Insurance Premium 4628 INR  Ref 49696,Health
Clinic Consultation,Health
Byjus Subscription ,Education
INOX Multiplex Rs 1871,Entertainment
IRCTC Train Ticket Rs 448,Travel
MedPlus Medicine 280 INR,Health
Hostel Canteen ,Food
KFC Food Court Rs 1767 ,Food
CCD Cafe Coffee Day Rs 2387,Food
Croma Retail,Shopping
Croma Retail Rs 727  Ref 22137,Shopping
Coursera Course,Education
Metro Rail Card Reload,Travel
Petrol Bunk HP  MUM,Travel
Fuel IOC Pump Rs 2917,Travel
SWIGGY Order  Ref 91310,Food
OLA CAB RIDE,Travel
Flipkart Online,Shopping
UBER TRIP HYD 2804 INR  BLR,Travel
Coffee Cafe HYD,Food
Flipkart Online  TXNID 91634,Shopping
Diagnostic Center Test  PUNE,Health
INOX Multiplex,Entertainment
Starbucks Jubilee Hills Rs 2527  PUNE,Food
SonyLIV Monthly,Entertainment
MedPlus Medicine,Health
Rapido Bike Ride 1775 INR ,Travel
Starbucks Jubilee Hills  HYD,Food
MedPlus Medicine,Health
Book Store Purchase Rs 858,Education
Netflix Subscription Rs 2035 ,Entertainment
Local Kirana Store  Ref 76940,Shopping
Flipkart Online Rs 2304 ,Shopping
Apartment Maintenance Fee  Ref 57388,Rent
UBER TRIP HYD 1682 INR,Travel
Local Kirana Store,Shopping
Room Rent UPI  HYD,Rent
Netflix Subscription Rs 1417,Entertainment
Apple Store Online Rs 2119,Shopping
IRCTC Catering  Ref 92105,Food
Croma Retail  MUM,Shopping
Myntra Fashion  Ref 44726,Shopping
Mobile Recharge Jio  Ref 83845,Utilities
Electronics Store HYD Rs 778,Shopping
TSRTC BUS TICKET Rs 2321,Travel
SonyLIV Monthly Rs 1038  PUNE,Entertainment
Metro Rail Card Reload 718 INR,Travel
Diagnostic Center Test,Health
PVR Cinemas Ticket 176 INR  PUNE,Entertainment
Local Kirana Store  PUNE,Shopping
Gaming Steam Purchase Rs 522  TXNID 99861,Entertainment
Petrol Bunk HP,Travel
SWIGGY Order 2434 INR ,Food
Amazon purchase 3379 INR  DEL,Shopping
Gas Bill HP,Utilities
IRCTC Train Ticket  Ref 17790,Travel
Hospital Bill Rs 553  BLR,Health
Electricity Bill TSSPDCL ,Utilities
DTH Recharge TataSky Rs 1828,Utilities
Reliance Trends,Shopping
Water Bill HMWSSB  BLR,Utilities
Clinic Consultation ,Health
UBER TRIP HYD 1310 INR,Travel
Subway Sandwich,Food
KFC Food Court Rs 189  Ref 64551,Food
Starbucks Jubilee Hills Rs 2846  TXNID 99173,Food
Byjus Subscription 4689 INR,Education
Diagnostic Center Test Rs 1900 ,Health
Broadband ACT Fibernet,Utilities
Reliance Trends 1040 INR  Ref 70585,Shopping
Water Bill HMWSSB  TXNID 96052,Utilities
Health Insurance Premium  TXNID 96745,Health
Coursera Course,Education
Gas Bill HP 4656 INR,Utilities
Mobile Recharge Jio ,Utilities
Electricity Bill TSSPDCL 551 INR  TXNID 98595,Utilities
IndiGo Flight Booking  TXNID 93676,Travel
KFC Food Court Rs 616,Food
Clinic Consultation Rs 1144  Ref 76709,Health
Water Bill HMWSSB  PUNE,Utilities
Udemy Online Course,Education
Clinic Consultation  Ref 55489,Health
Hostel Fee Payment Rs 2159  MUM,Rent
TSRTC BUS TICKET 2745 INR,Travel
Amazon purchase  TXNID 91626,Shopping
SonyLIV Monthly ,Entertainment
Fuel IOC Pump,Travel
PG Rent Gachibowli,Rent
Room Rent UPI 1443 INR  Ref 16834,Rent
CCD Cafe Coffee Day 1604 INR,Food
Room Rent UPI Rs 346,Rent
Health Insurance Premium,Health
Dominos Pizza HYD Rs 1556,Food
ZOMATO Order  TXNID 97094,Food
Health Insurance Premium Rs 2875,Health
Metro Rail Card Reload 613 INR ,Travel
OLA CAB RIDE 1064 INR,Travel
Dominos Pizza HYD,Food
Hostel Canteen  Ref 82788,Food
Electricity Bill TSSPDCL 827 INR,Utilities
Starbucks Jubilee Hills,Food
OLA CAB RIDE 2837 INR  TXNID 94883,Travel
TSRTC BUS TICKET,Travel
Water Bill HMWSSB 225 INR,Utilities
Book Store Purchase,Education
McDonalds Drive Thru 4184 INR,Food
Book Store Purchase Rs 1655  Ref 35810,Education
Fuel IOC Pump  DEL,Travel
Exam Registration Fee ,Education
Subway Sandwich,Food
KFC Food Court 1890 INR  TXNID 98067,Food
IRCTC Train Ticket,Travel
IRCTC Train Ticket  TXNID 99667,Travel
Hostel Fee Payment Rs 2160  TXNID 98717,Rent
Reliance Trends Rs 2210,Shopping
UBER TRIP HYD Rs 2394 ,Travel
Netflix Subscription  MUM,Entertainment
Subway Sandwich,Food
Subway Sandwich,Food
IRCTC Train Ticket,Travel
Croma Retail 2436 INR ,Shopping
Rapido Bike Ride,Travel
Coffee Cafe HYD  BLR,Food
Electronics Store HYD 1136 INR,Shopping
Clinic Consultation 115 INR,Health
CCD Cafe Coffee Day,Food
ZOMATO Order Rs 504  TXNID 99811,Food
KFC Food Court 1530 INR  TXNID 91476,Food
Local Kirana Store Rs 2796,Shopping
Coffee Cafe HYD Rs 2518,Food
Coursera Course  Ref 64850,Education
OLA CAB RIDE  Ref 80573,Travel
Mobile Recharge Jio 2563 INR  DEL,Utilities
Amazon purchase  TXNID 98359,Shopping
Electricity Bill TSSPDCL,Utilities
Petrol Bunk HP 3939 INR ,Travel
Library Fine ,Education
Hostel Fee Payment,Rent
Spotify Premium  PUNE,Entertainment
Diagnostic Center Test 2680 INR,Health
